title,director,plot,box_office,imdbrating,released
Tales From the Crypt Presents: Demon Knight (1995),,,,,
Star Trek: Generations (1994),David Carson,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.","$75,671,125",6.6,18 Nov 1994
Tales from the Hood (1995),Rusty Cundieff,A funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.,"$11,837,928",6.5,24 May 1995
Tom & Viv (1994),Brian Gilbert,"In 1915, Tom and Viv elope, but her gynecological and emotional problems disrupt their honeymoon. Her father is angry because Tom's poetry doesn't bring in enough to live, but her mother is happy Viv has found a tender and discree...","$538,534",6.2,15 Apr 1994
Village of the Damned (1995),John Carpenter,A small town's women give birth to unfriendly alien children posing as humans.,"$9,418,365",5.6,28 Apr 1995
Tommy Boy (1995),Peter Segal,"After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.","$32,679,899",7.1,31 Mar 1995
Vanya on 42nd Street (1994),Louis Malle,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.","$1,746,050",7.3,19 Oct 1994
"Underneath, The (1995)",,,,,
"Walking Dead, The (1995)",,,,,
What's Eating Gilbert Grape (1993),Lasse Hallström,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,"$10,032,765",7.7,04 Mar 1994
Virtuosity (1995),Brett Leonard,"When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror.","$24,047,675",5.5,04 Aug 1995
While You Were Sleeping (1995),Jon Turteltaub,A hopelessly romantic Chicago Transit Authority ticket booth operator is mistaken for the fiancée of a comatose patient.,"$81,057,016",6.8,21 Apr 1995
"War, The (1994)",,,,,
Double Happiness (1994),Mina Shum,"East clashes with West and generations collide as a young Chinese woman struggles to appease her old-fashioned father, and at the same time pursue her modern dreams.","$759,393",7.1,28 Jul 1995
Muriel's Wedding (1994),P.J. Hogan,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.","$15,119,639",7.2,31 Mar 1995
"Baby-Sitters Club, The (1995)",,,,,
Ace Ventura: Pet Detective (1994),Tom Shadyac,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,"$72,217,396",6.9,04 Feb 1994
"Adventures of Priscilla, Queen of the Desert, The (1994)",,,,,
Backbeat (1993),,,,,
Bitter Moon (1992),Roman Polanski,"After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.","$1,862,805",7.2,18 Mar 1994
Bullets Over Broadway (1994),Woody Allen,"In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.","$13,383,747",7.4,24 Feb 1995
Clear and Present Danger (1994),Phillip Noyce,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"$122,187,717",6.9,03 Aug 1994
"Client, The (1994)",,,,,
"Corrina, Corrina (1994)",Jessie Nelson,"In 1959, a widower hires a warm-hearted housekeeper/nanny to care for his seven-year-old daughter.","$20,164,171",6.6,26 Aug 1994
Crooklyn (1994),Spike Lee,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.","$13,642,861",7.0,13 May 1994
"Crow, The (1994)",,,,,
Cobb (1994),Ron Shelton,A reporter hired to write the 'official' biography of Ty Cobb discovers just how dark the baseball legend's real story is.,"$1,007,583",6.4,02 Dec 1994
"Flintstones, The (1994)",,,,,
Forrest Gump (1994),Robert Zemeckis,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","$330,455,270",8.8,06 Jul 1994
Four Weddings and a Funeral (1994),Mike Newell,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","$52,700,832",7.1,15 Apr 1994
Higher Learning (1995),John Singleton,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.","$38,290,723",6.5,11 Jan 1995
I Like It Like That (1994),Darnell Martin,Money issues and misunderstandings divide a couple who struggle to raise their children in the Bronx.,"$1,760,527",6.7,14 Oct 1994
I Love Trouble (1994),Charles Shyer,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.,"$30,806,194",5.3,29 Jun 1994
It Could Happen to You (1994),Andrew Bergman,A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,"$37,939,757",6.4,29 Jul 1994
"Jungle Book, The (1994)",,,,,
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",,,,,
"Lion King, The (1994)",,,,,
Little Buddha (1993),Bernardo Bertolucci,"After the death of Lama Dorje, Tibetan Buddhist monks find three children - one American and two Nepalese - who may be the rebirth of their great teacher.","$4,858,139",6.1,25 May 1994
Wes Craven's New Nightmare (1994),,,,,
"Mask, The (1994)",,,,,
Maverick (1994),Richard Donner,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.","$101,631,272",7.0,20 May 1994
Mrs. Parker and the Vicious Circle (1994),Alan Rudolph,"Dorothy Parker remembers the heyday of the Algonquin Round Table, a circle of friends whose barbed wit, like hers, was fueled by alcohol and flirted with despair.","$2,144,667",6.4,23 Nov 1994
Naked Gun 33 1/3: The Final Insult (1994),Peter Segal,Frank Drebin comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,"$51,132,598",6.5,18 Mar 1994
"Paper, The (1994)",,,,,
Reality Bites (1994),Ben Stiller,"A documentary filmmaker and her fellow Generation X graduates face life after college, looking for work and love in Houston.","$20,982,557",6.6,18 Feb 1994
Red Rock West (1992),,,,,
Richie Rich (1994),Donald Petrie,"Richie Rich is the richest kid in the world. The one thing Richie doesn't have is friends. When his parents suddenly go missing, Richie hooks up with a group of kids who just might fill the void in his life, while helping save his...","$38,087,756",5.4,21 Dec 1994
Safe Passage (1994),Robert Allan Ackerman,A mother with seven sons feels like she's losing control of her life and her family. But personal pain and a troubled marriage fade into the background as news comes that one of her sons might have died in an accident.,"$1,618,282",6.3,06 Jan 1995
"River Wild, The (1994)",,,,,
Speed (1994),Jan de Bont,"An extortionist bomber rigs a Los Angeles city bus to explode if its speed drops below 50 mph, forcing a young cop and a female passenger to keep it moving and save everyone on board.","$121,248,145",7.3,10 Jun 1994
Speechless (1994),Ron Underwood,Two political speechwriters fall in love before they find out they are working for candidates on opposite sides.,"$20,667,959",5.8,16 Dec 1994
Timecop (1994),Peter Hyams,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.","$44,853,581",5.9,16 Sep 1994
True Lies (1994),James Cameron,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United S...","$146,282,411",7.3,15 Jul 1994
When a Man Loves a Woman (1994),Luis Mandoki,The seemingly perfect relationship between a man and his wife is tested as a result of her alcoholism.,"$50,021,959",6.6,13 May 1994
Wolf (1994),Mike Nichols,Publisher Will Randall becomes a demon wolf and has to fight to keep his job.,"$65,002,597",6.3,17 Jun 1994
Wyatt Earp (1994),Lawrence Kasdan,"From Wichita to Dodge City, to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure, and desperate heroic action.","$25,052,000",6.7,24 Jun 1994
Bad Company (1995),Damian Harris,"CIA agent Crowe is forced to join Grimes Organization for blackmail operations. He works with Wells targeting a judge, while Stapp uncovers his CIA past.","$3,674,841",5.4,20 Jan 1995
"Man of No Importance, A (1994)",,,,,
S.F.W. (1994),Jefery Levy,An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,"$63,513",5.7,20 Jan 1995
"Low Down Dirty Shame, A (1994)",,,,,
Boys Life (1995),,,,,
"Colonel Chabert, Le (1994)",,,,,
Faster Pussycat! Kill! Kill! (1965),Russ Meyer,"Three thrill-seeking go-go dancers kidnap a young girl and attempt to swindle an old rancher and his two sons out of their small fortune, but their scheme does not play out as they intended.",N/A,6.6,06 Aug 1965
Jason's Lyric (1994),Doug McHenry,"Two brothers, survivors of family tragedy, take different life paths: one falls for a high-spirited waitress and dreams of success, the other follows a life of petty crime. Their lives reconnect in shattering fashion.","$20,851,521",6.6,28 Sep 1994
"Secret Adventures of Tom Thumb, The (1993)",,,,,
Street Fighter (1994),Steven E. de Souza,"In the midst of a civil war in South East Asia, a general intensifies the climate of violence by kidnapping 63 UN delegates. To free the hostages, a colonel leads a group of fighters, who will have to use all their skills to be su...","$33,423,521",4.1,23 Dec 1994
Coldblooded (1995),Wallace Wolodarsky,A bookie is promoted to Hitman and seemingly excels at his new found job.,"$16,198",6.7,15 Sep 1995
Desert Winds (1995),,,,,
Fall Time (1995),Paul Warner,"Three young men decide to plan a mock kidnapping, but everything goes wrong because a real bank robbery was already planned by two other guys.",N/A,5.3,13 May 1995
"Fear, The (1995)",,,,,
Frank and Ollie (1995),Theodore Thomas,"A study of the personal and professional relationship of Disney animators Frank Thomas and Ollie Johnston, who started at the studio in the 1930s and worked on 23 films together.",N/A,7.6,20 Oct 1995
Girl in the Cadillac (1995),Lucas Platt,"Mandy, a modern teenage ""Lolita"" with a wild sense of adventure and a burning desire to taste life, buys a ticket out of her one-horse town of Paint Rock, Texas, hitting the road to love, life and self-discovery.",N/A,4.8,21 Jul 1995
Homage (1995),Ross Kagan Marks,"In New Mexico, the widow and former teacher Katherine Samuel reluctantly hires the lonely mathematician and genius Archie Landrum to be her gardener and soon they become good friends. When her estranged daughter Lucille ""Lucy"" Sam...",N/A,5.6,03 May 1996
Mirage (1995),Paul Williams,Matteo Juarez is a retired detective hired by a local businessman to follow his wife Jennifer. She has a split personality and seems to be putting herself in danger without knowing it.,N/A,4.9,01 Jan 1995
Open Season (1996),,,,,
Two Crimes (1995),,,,,
Brother Minister: The Assassination of Malcolm X (1994),"Jefri Aalmuhammed, Jack Baxter","Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the convicted assassins, reveals the true identity of...","$41,430",7.3,01 Mar 1995
Highlander III: The Sorcerer (1994),N/A,N/A,N/A,N/A,18 Apr 2016
Federal Hill (1994),Michael Corrente,"On the mean streets of Providence, five friends struggle for a future in the mob-infested neighborhood known as Federal hill. Petty burglar Ralph and his drug-dealing friend Nicky are inseparable until Nicky meets a beautiful….","$514,775",6.3,24 Feb 1995
In the Mouth of Madness (1995),,,,,
8 Seconds (1994),John G. Avildsen,"This movie chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert.","$19,623,396",6.6,25 Feb 1994
Above the Rim (1994),Jeff Pollack,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.","$16,192,320",6.6,23 Mar 1994
Addams Family Values (1993),Barry Sonnenfeld,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.","$48,919,043",6.8,19 Nov 1993
You So Crazy (1994),Thomas Schlamme,"Stand up comedy by Martin Lawrence, filmed in the Majestic Theater in New York City. Martin Lawrence talks about everything from racism, to relationships, to his childhood.","$10,184,701",6.6,27 Apr 1994
"Age of Innocence, The (1993)",,,,,
Airheads (1994),Michael Lehmann,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.,"$5,751,882",6.2,05 Aug 1994
"Air Up There, The (1994)",,,,,
Another Stakeout (1993),John Badham,Immature detectives Chris Lecce and Bill Reimers are joined by pesky assistant district attorney Gina Garrett in staking out a lakeside home where Mafia trial witness Luella Delano is believed to be heading.,"$20,208,496",5.6,23 Jul 1993
Bad Girls (1994),Jonathan Kaplan,Four prostitutes join together to travel the Old West.,"$15,240,435",5.2,22 Apr 1994
Barcelona (1994),Whit Stillman,"An American working in Barcelona, having sworn off beautiful women, is forced to be host to his playboy cousin in this witty comedy of good intentions and mixed signals.","$7,266,973",7.0,29 Jul 1994
Being Human (1993),,,,,
"Beverly Hillbillies, The (1993)",,,,,
Beverly Hills Cop III (1994),John Landis,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles.","$42,614,912",5.5,25 May 1994
Black Beauty (1994),Caroline Thompson,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.","$4,630,377",6.6,29 Jul 1994
Blink (1994),,,,,
Blown Away (1994),Stephen Hopkins,An Irish bomber targets an old foe in Boston.,"$30,156,002",6.2,01 Jul 1994
Blue Chips (1994),William Friedkin,A college basketball coach is forced to break the rules in order to get the players he needs to stay competitive.,"$23,070,663",6.3,18 Feb 1994
Blue Sky (1994),Tony Richardson,"Carly moves with her military husband and their two daughters to an isolated army base, only to quickly become part of a cover-up involving nuclear bomb tests.","$3,359,465",6.4,16 Sep 1994
Body Snatchers (1993),Abel Ferrara,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,"$428,868",6.0,18 Feb 1994
Boxing Helena (1993),Jennifer Lynch,"A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.","$1,796,389",4.7,03 Sep 1993
"Bronx Tale, A (1993)",,,,,
Cabin Boy (1994),Adam Resnick,A snobby finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,"$3,662,459",5.3,07 Jan 1994
Calendar Girl (1993),John Whitesell,"Three young men go on an end of the summer trip to Hollywood, California. Their quest: to fulfill the fantasy of meeting Marilyn Monroe.","$2,570,550",5.1,03 Sep 1993
Carlito's Way (1993),Brian De Palma,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","$36,948,322",7.9,12 Nov 1993
City Slickers II: The Legend of Curly's Gold (1994),Paul Weiland,"One year after their first adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.","$43,622,150",5.6,10 Jun 1994
Clean Slate (1994),Mick Jackson,A private eye who suffers total amnesia every twenty-four hours is deeply entangled in a complicated murder and theft case.,"$7,355,425",5.7,06 May 1994
Cliffhanger (1993),Renny Harlin,"Former mountain rescuer, Gabe Walker, must rescue a group of plane crash survivors in the Rocky Mountains. However they are actually a group of violent criminals who need help to locate their missing loot from a US Treasury plane.","$84,049,211",6.5,28 May 1993
Coneheads (1993),Steve Barron,Aliens with conical crania crash-land on Earth.,"$21,274,717",5.5,23 Jul 1993
Color of Night (1994),Richard Rush,"A color-blind psychoanalyst is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with.","$19,726,050",5.2,19 Aug 1994
Cops and Robbersons (1994),Michael Ritchie,"A counterfeiter with a habit of ""eliminating"" the competition moves in next door to the Robbersons. Two cops move in with the Robbersons for a stakeout.","$11,391,093",5.2,15 Apr 1994
"Cowboy Way, The (1994)",,,,,
Dangerous Game (1993),Abel Ferrara,"A New York City film director working on his latest movie in Los Angeles begins to reflect the actions in his movie and real life, especially when he begins an affair with the lead actress.","$23,671",5.6,19 Nov 1993
Dave (1993),Ivan Reitman,An uncanny Presidential lookalike named Dave is recruited by the Secret Service to become a momentary stand-in for the President of the United States.,"$63,270,710",6.9,07 May 1993
Dazed and Confused (1993),Richard Linklater,The adventures of high school and junior high students on the last day of school in May 1976.,"$8,249,404",7.6,24 Sep 1993
Demolition Man (1993),Marco Brambilla,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,"$58,055,768",6.7,08 Oct 1993
"Endless Summer 2, The (1994)",,,,,
Even Cowgirls Get the Blues (1993),Gus Van Sant,"Sissy Hankshaw (Uma Thurman) is born with enormous thumbs that help her hitchhiking through the U.S. from a young age. She becomes a model in advertising, and her New York agent, ""the Countess"" (Sir John Hurt), sends her to his ra...","$1,708,873",4.3,20 May 1994
Fatal Instinct (1993),Carl Reiner,"A cop who moonlights as a lawyer cheats on his wife, not knowing that she's cheating on him and plans to kill him for the insurance.","$7,839,327",5.7,29 Oct 1993
Farewell My Concubine (1993),Kaige Chen,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,"$5,549,086",8.1,15 Oct 1993
"Favor, The (1994)",,,,,
Fearless (1993),Peter Weir,A man's personality is dramatically changed after surviving a major airline crash.,"$6,995,302",7.1,05 Nov 1993
Fear of a Black Hat (1993),Rusty Cundieff,"A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.","$233,824",7.2,03 Jun 1994
With Honors (1994),Alek Keshishian,"Convinced his thesis will have him graduate with honors from Harvard University, a stuffy student finds himself at the mercy of a homeless man's demands when he holds the papers hostage.","$20,016,254",6.7,29 Apr 1994
Flesh and Bone (1993),Steve Kloves,"Decades later, a son of a killer falls in love with a girl, whose family's horrifying murder he saw in childhood.","$9,709,451",6.2,05 Nov 1993
Widows' Peak (1994),John Irvin,"In 1934, an English widow moves to Widows' Peak, Ireland. She befriends other widows and the son of one. Hostility escalates between her and an Irish spinster.","$6,243,722",6.7,13 May 1994
For Love or Money (1993),Barry Sonnenfeld,"Doug, a concierge at a luxury Manhattan hotel, saves all his tips toward his plan for a hotel. A potential investor seduces the girl Doug loves with false promises of leaving his wife. Doug's dilemma: hotel project or girl?","$11,146,270",6.2,01 Oct 1993
"Firm, The (1993)",,,,,
Free Willy (1993),Simon Wincer,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.","$77,709,806",6.1,16 Jul 1993
Fresh (1994),Boaz Yakin,"Death and violence anger a twelve-year-old drug courier, who sets his employers against each other.","$8,094,616",7.5,02 Sep 1994
"Fugitive, The (1993)",,,,,
Geronimo: An American Legend (1993),Walter Hill,The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.,"$18,635,620",6.5,10 Dec 1993
"Getaway, The (1994)",,,,,
Getting Even with Dad (1994),Howard Deutch,A thief's son cons his father into spending more time with him.,"$18,869,594",4.9,17 Jun 1994
Go Fish (1994),Rose Troche,A romantic tale about finding a soulmate. The only difference here is that both partners are women...in Chicago's lesbian community.,"$2,405,285",5.7,08 Jul 1994
"Good Man in Africa, A (1994)",,,,,
Guilty as Sin (1993),Sidney Lumet,"A female lawyer takes an accused wife-murderer as a client, but finds herself morally compelled to betray him one way or another.","$22,866,222",5.7,04 Jun 1993
Hard Target (1993),John Woo,"A woman hires a drifter as her guide through New Orleans in search of her missing father. In the process, they discover a deadly game of cat and mouse behind his disappearance.","$32,589,677",6.2,20 Aug 1993
Heaven & Earth (1993),Oliver Stone,"During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.","$5,864,949",6.8,07 Jan 1994
Hot Shots! Part Deux (1993),Jim Abrahams,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.","$38,922,972",6.6,21 May 1993
Live Nude Girls (1995),Julianna Lavin,Four women get together for a bachelorette party.,"$23,808",5.2,08 Dec 1995
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",,,,,
"House of the Spirits, The (1993)",,,,,
House Party 3 (1994),Eric Meza,"Kid, after a lifetime 'playing the field', is about to get married. 'Play' plans to throw the best bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing them what parties are all about.","$19,281,235",4.7,12 Jan 1994
"Hudsucker Proxy, The (1994)",,,,,
I'll Do Anything (1994),James L. Brooks,"An aspiring actor's life gets upended when his ex-wife dumps their bossy, wild little daughter into his custody.","$10,424,645",5.5,04 Feb 1994
In the Army Now (1994),Daniel Petrie Jr.,Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.,"$28,881,266",4.9,12 Aug 1994
In the Line of Fire (1993),Wolfgang Petersen,"Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.","$102,314,823",7.2,09 Jul 1993
In the Name of the Father (1993),Jim Sheridan,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.","$25,096,862",8.1,25 Feb 1994
"Inkwell, The (1994)",,,,,
What's Love Got to Do with It? (1993),Brian Gibson,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.","$39,100,956",7.3,25 Jun 1993
Jimmy Hollywood (1994),Barry Levinson,"A failing actor living in crime infested Los Angeles, frustrated with his career, decides to take the law into his own hands, and becomes the leader of a mock-vigilante group that videotapes criminals and turns them over to the po...","$3,783,003",5.3,30 Mar 1994
Judgment Night (1993),Stephen Hopkins,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","$12,526,677",6.6,15 Oct 1993
Jurassic Park (1993),Steven Spielberg,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.","$407,185,075",8.2,11 Jun 1993
Kalifornia (1993),Dominic Sena,"A journalist duo goes on a tour of serial-killer murder sites with two companions, unaware that one of them is a serial killer himself.","$2,395,231",6.7,03 Sep 1993
Killing Zoe (1994),,,,,
King of the Hill (1993),Steven Soderbergh,A young boy struggles on his own in a run-down hotel after his parents and younger brother are separated from him in 1930s Depression-era Midwest.,"$1,214,231",7.3,20 Aug 1993
Lassie (1994),Daniel Petrie,"When a family of 4 moves from Baltimore to a farm in rural Virginia, they adopt an abandoned collie. The dog becomes the son's companion and protector, helping him adapt to rural life.","$9,979,683",5.8,22 Jul 1994
Last Action Hero (1993),John McTiernan,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.","$50,016,394",6.5,18 Jun 1993
Life with Mikey (1993),James Lapine,A once-popular actor who now runs a talent agency specializing in child acts is trying to discover the next star. He gets more than he bargained for when he recruits a child pickpocket.,"$12,440,858",5.7,04 Jun 1993
Lightning Jack (1994),Simon Wincer,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last...","$16,821,273",5.5,11 Mar 1994
M. Butterfly (1993),David Cronenberg,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.","$1,498,795",6.7,01 Oct 1993
Made in America (1993),Richard Benjamin,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.","$44,942,695",5.1,28 May 1993
Malice (1993),Harold Becker,"A tale about a happily married couple who would like to have children. Tracy teaches art, Andy's a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.","$46,405,336",6.5,01 Oct 1993
"Man Without a Face, The (1993)",,,,,
Manhattan Murder Mystery (1993),Woody Allen,Middle-aged New York married couple Larry and Carol Lipton suspect foul play when their neighbor Paul House's wife Lillian suddenly drops dead.,"$11,330,911",7.3,18 Aug 1993
Menace II Society (1993),"Albert Hughes, Allen Hughes","This urban nightmare chronicles several days after the graduation of young street hustler as he attempts to escape the rigors and temptations of the Watts, California ghetto in search of a better life.","$27,912,072",7.5,26 May 1993
Executive Decision (1996),Stuart Baird,"When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation.","$56,569,216",6.5,15 Mar 1996
In the Realm of the Senses (Ai no corrida) (1976),,,,,
What Happened Was... (1994),Tom Noonan,"Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner one night. As this 'first date' plays out, the audience is guided through a mental minefield of disappointment.",N/A,7.2,09 Sep 1994
Much Ado About Nothing (1993),Kenneth Branagh,"Young lovers, and soon to wed, Hero and Claudio conspire to get verbal sparring partners and confirmed singles, Benedick and Beatrice, to wed as well.","$22,549,338",7.3,02 Jul 1993
Mr. Jones (1993),"Mike Figgis, Jon Amiel","After being arrested during a manic episode, a man who suffers from bipolar disorder is treated by a psychiatrist who begins to develop romantic feelings towards him.","$8,345,845",5.8,08 Oct 1993
Mr. Wonderful (1993),Anthony Minghella,"In an attempt to end alimony payments, a working class man tries to set up his ex wife with potential husbands.","$3,125,424",5.9,15 Oct 1993
Mrs. Doubtfire (1993),Chris Columbus,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.","$219,195,243",7.1,24 Nov 1993
Naked (1993),Mike Leigh,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,"$1,769,305",7.7,04 Feb 1994
"Next Karate Kid, The (1994)",,,,,
"New Age, The (1994)",,,,,
No Escape (1994),Martin Campbell,A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts.,"$15,339,030",6.1,29 Apr 1994
North (1994),Rob Reiner,"Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.","$7,182,747",4.5,22 Jul 1994
Orlando (1993),N/A,N/A,N/A,N/A,N/A
"Perfect World, A (1993)",,,,,
Philadelphia (1993),Jonathan Demme,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small-time lawyer as the only willing advocate for a wrongful dismissal suit.","$77,446,440",7.7,14 Jan 1994
"Piano, The (1993)",,,,,
Poetic Justice (1993),John Singleton,Grieving hairdresser Justice goes on a road trip from South Central L.A. to Oakland on a mail truck alongside her friend and an obnoxious postal worker.,"$27,515,786",6.1,23 Jul 1993
"Program, The (1993)",,,,,
Robert A. Heinlein's The Puppet Masters (1994),,,,,
Radioland Murders (1994),Mel Smith,A series of mysterious crimes threatens the existence of a new radio network.,"$1,316,865",6.1,21 Oct 1994
"Ref, The (1994)",,,,,
"Remains of the Day, The (1993)",,,,,
Renaissance Man (1994),Penny Marshall,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,"$24,332,324",6.2,03 Jun 1994
Rising Sun (1993),Philip Kaufman,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.","$63,179,523",6.3,30 Jul 1993
"Road to Wellville, The (1994)",,,,,
Robocop 3 (1993),Fred Dekker,"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.","$10,696,210",4.2,05 Nov 1993
Robin Hood: Men in Tights (1993),Mel Brooks,"A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.","$35,739,755",6.7,28 Jul 1993
Romeo Is Bleeding (1993),Peter Medak,A corrupt New York policeman falls under the spell of a seductive and ruthless member of a Moscow crime family.,"$3,275,585",6.5,04 Feb 1994
Romper Stomper (1992),Geoffrey Wright,A group of skinheads become alarmed at the way their neighbourhood is changing.,"$175,340",6.8,12 Nov 1992
Ruby in Paradise (1993),Victor Nunez,A young woman struggles for independence and identity in a small Florida tourist town.,"$1,001,437",6.9,05 Nov 1993
Rudy (1993),David Anspaugh,Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,"$22,881,563",7.5,22 Oct 1993
"Saint of Fort Washington, The (1993)",,,,,
"Savage Nights (Nuits fauves, Les) (1992)",,,,,
Schindler's List (1993),Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","$96,898,818",9.0,04 Feb 1994
"Scout, The (1994)",,,,,
